Russia,Ossetian
"Четверо мальчишек развлекались, играя в карты.",Four boys amused themselves playing cards.
В данный момент электричество отключено.,The electricity is off at the moment.
"Числа не отпечатываются в вашей памяти, изображения - да.","Numbers don't stick in your mind, pictures do."
Он пишет письмо.,He writes a letter.
В случае пожара нажмите эту кнопку.,"In case of fire, press this button."
Марта - превосходный пианист.,Martha is an excellent pianist.
Нет в жизни справедливости.,Life's not fair.
Я три года жил в Японии.,I have been in Japan for three years.
Мой велосипед украли.,My bicycle was stolen.
У меня слишком много дел.,I've got too much to do.
"Он сказал, что встречал её за день до этого.",He said that he had met her on the previous day.
"Мне нравится ходить в местный джаз-клуб, где я могу насладиться живой музыкой.",I like to go to a local jazz club where I can enjoy live music.
"Говорят, она богата.",It is said that she is rich.
Дверь была заперта! Всё-таки здесь что-то не чисто.,I was locked out! There's got to be something fishy going on.
Она окинула меня многозначительным взглядом.,She gave me a meaningful look.
Он начал снимать шкуру с животного.,He began skinning the animal.
"Учащиеся не должны работать, если они ходят в школу.",Students should not work if they are going to school.
Он поехал в Америку изучать американскую литературу.,He went to America to study American literature.
"Мы потратили больше денег, чем ожидали.",We spent more money than was expected.
"Мэри не спешила с выбором платья, несмотря на то, что её ждал Том.",Mary took her time choosing a dress even though Tom was waiting for her.
Она кубарем скатилась с лестницы.,She fell head over heels from the ladder.
"Том купил Марии новый фотоаппарат - взамен того, который одолжил и потерял.",Tom bought a new camera for Mary to replace the one he had borrowed and lost.
"Он сломал себе ногу, катаясь на лыжах.",He broke his leg skiing.
"Я лгал ему, а он, в свою очередь, лгал мне.",I lied to him and he lied to me in turn.
Выглядит близко.,That looks close.
Она велела детям убрать игрушки.,She told her children to put away their toys.
"В самом деле, метание карликов - олимпийский вид спорта.","Indeed, dwarf tossing is an Olympic sport!"
Женщина обнажена.,The woman is naked.
Позвони мне завтра.,Call me tomorrow.
Любопытство кошку сгубило.,Curiosity killed the cat.
И это пройдёт.,"This, too, shall pass."
"Если не возражаете, можно мы проверим ваш чемодан?","If you don't mind, may we inspect your suitcase?"
"Возможно, ночью не будет заморозков.",It might not freeze tonight.
"Что вам больше нравится, мясо или рыба?","Which do you like better, meat or fish?"
Я в порядке.,I'm fine.
Я в порядке.,I am okay.
Я в порядке.,I am well.
Я в порядке.,I am fine.
Тому следует сделать то же самое.,Tom should do the same.
"Синдзи оказалось очень трудно приспособиться к жизни в новой школе. Но тот факт, что он был пилотом Евы, сделал его знаменитым.","Shinji found it very difficult to adjust himself to life in the new school. However, the fact that he was an EVA pilot made him popular."
Том никогда не видел Мэри такой сердитой.,Tom has never seen Mary so angry.
"Совершенно ясно, что он не хочет говорить со мной.",It's clear that he doesn't want to talk to me.
В этой реке можно безопасно плавать.,This river is safe to swim in.
Мальчик научился читать.,The boy has learned to read.
Однополые браки разрешены менее чем в 20% стран.,Gay marriage is permitted in less than 20% of countries.
Моя дочь выросла из этого костюма.,My daughter has grown out of this suit.
После долгого спора я наконец-то убедил её поехать на природу.,"After a long argument, I finally persuaded her to go camping."
Он вёл себя будто хозяин.,He acted like he owned the place.
Счастье в браке - это полностью вопрос удачи.,Happiness in marriage is entirely a matter of chance.
Потихоньку они распространялись всё дальше.,Little by little they spread further.
Мистер Браун торговец шерстью.,Mr Brown is a wool merchant.
"Извините, что не ответил вам раньше.",I'm sorry I didn't reply to you sooner.
"Выясните, пожалуйста, где она.",Please find out where she is.
Головка твоего члена торчит из-под ремня.,The head of your penis is sticking out of your belt.
Сайт недоступен.,The website is down.
Люблю летний дождь.,I love summer rain.
Почему ты не приспосабливаешь свой способ жить к обстоятельствам?,Why don't you adapt your way of life to circumstances?
У тебя действительно есть бесплатные билеты на концерт?,Do you really have free tickets for the concert?
Было много дождя прошлым летом.,We had a good deal of rain last summer.
Этим летом было много дождя.,We have had much rain this summer.
"Человек, как биологическое существо, принадлежит к животному миру.",Human as a biological being belongs to the animal world.
Приматы - стопоходящие животные.,Primates are plantigrade animals.
Все млекопитающие имеют семь шейных позвонков.,All mammals have seven cervical vertebrae.
"Надеюсь, никто из них не пострадал в аварии.",I hope neither of them was injured in the crash.
"Как типичное позвоночное, человек обладает двумя парами конечностей.",Like a typical vertebrate the human has two pairs of limbs.
Жертва была покалечена собаками.,The victim was crippled by dogs.
"Мы получили инструкции, как сделать бамбуковую корзину.",We received instructions on how to make a bamboo basket.
"Честная бедность предпочтительнее богатства, приобретённого нечестными методами.",Poverty with honesty is preferable to wealth obtained by unfair means.
Он был один во тьме - и никого больше.,He was alone in the darkness - and nobody else.
Всякая задача имеет решение.,Every problem has a solution.
Эксперимент должен начаться.,The experiment has to begin.
Эксперимент должен начаться.,The experiment must begin.
Твои старания тщетны.,Your efforts are futile.
Ты часто его видишь?,Do you see him often?
День почти закончился.,The day is almost over.
Я не мог не сделать замечание на этот счёт.,I couldn't help but remark on it.
"Они согласились с тем, что у них нет выбора, кроме как отказаться от всего плана.",They agree that they have no choice but to give up the whole plan.
"Как ты думаешь, почему Том предпочитает жить в деревне?",Why do you think Tom prefers living in the country?
Почему вы так думаете?,Why do you think so?
"Как вы думаете, почему он так сказал?",Why do you think he said so?
Том не понимает Мэри.,Tom doesn't understand Mary.
Том младше меня.,Tom isn't as old as I am.
"Не возражаете, если я возьму выходной?",Do you mind if I take a day off?
"Эсперанто не только номинально, но и по своей структуре - международный язык.",Esperanto is not only nominally but also structurally an international language.
"Либо ты неправ, либо я.",Either you or I am wrong.
"Обязательно выключай свет, когда уходишь.",Be sure to turn out the light when you go out.
Мне нужно причесаться.,I have to comb my hair.
Я не могу найти ни одного изъяна в его теории.,I can't find a single flaw in his theory.
"Я не думаю, что Том был замешан в этом скандале.",I don't think Tom was involved in the scandal.
"Ему нравятся странные животные, вроде змей.","He likes strange animals, such as snakes."
Она бросила на него подозрительный взгляд.,She threw a suspicious glance at him.
Я не могу поднять правую руку.,I can't lift my right arm.
Мои мышцы размякли.,My muscles have become soft.
"Как это часто бывает, сегодня днём Майк опоздал на встречу.","As is often the case, Mike was late for the meeting this afternoon."
"Когда они добрались до вокзала, поезд уже ушёл.",The train had already left when they got to the station.
"В наше время при замужестве женщины обращают внимание, наверное, только на то, любите ли вы его, любит ли он вас, честен ли он и искренны ли его чувства по отношению к вам, будет ли он оказывать на вас давление, будете ли вы счастливы, но не каким имуществом он владеет!","Today, women's only consideration in marriage is probably if you love him or not, if he loves you or not, whether he is sincere and heartfelt towards you, whether there will be pressure with him, whether there will be happiness, and not what his possessions are!"
Мы обожрались пиццей и пивом.,We pigged out on pizza and beer.
У Тома не осталось выбора.,Tom had no options left.
"Все знают, что она вышла за него из-за денег.",Everybody knows she married him for his money.
Меня это не удивляет.,It doesn't surprise me.
Они путешествовали со мной по всей Европе!,They travelled all throughout Europe with me!
Мать Фелиции - полька румынского происхождения.,Felicja's mother is a Pole of Romanian origin.
Добавление комментариев делает код более удобочитаемым.,Adding comments makes the code easier to read.
У него не было отличительных признаков.,He had no distinguishing features.
Он смышлёный мальчик.,He is an intelligent boy.
При землетрясении земля может колебаться вверх-вниз или вперёд и назад.,"In an earthquake, the ground can shake up and down, or back and forth."
У меня закончилось топливо.,I ran out of fuel.
"На нас оказывают влияние и окружение, и наследственность.",We are influenced both by environment and by heredity.
Я должен бежать на урок.,I must hurry to class.
Зачехлите своё оружие!,Holster your weapon.
Том холодно принял Мэри.,Tom gave Mary the cold shoulder.
Чего Тому хотелось на самом деле - так это остаться дома и смотреть телевизор.,What Tom really wanted to do was stay at home and watch TV.
Твоя смерть не будет напрасна.,Your death will not have been in vain.
"Этот глагол отчасти схож со словом ""пить"".","This verb is somewhat similar to ""to drink""."
"Я довершу, что он начал.",I will complete what he started.
"Не думаю, что эта старая машина доберётся до верхушки холма.",I don't think this old car will make it to the top of the hill.
Внешность может быть обманчива.,Looks can be deceiving.
Единственное равенство на земле - смерть.,The sole equality on earth is death.
Я ждал его смерти шесть месяцев.,I have expected his death for six months.
Я постоянно разговариваю сам с собой.,I constantly talk to myself.
"Публика заметила, что докладчик выглядит усталым.",The audience members noted that the speaker looked tired.
"Английский - один из самых легких языков, на которых можно говорить плохо, но самый сложный, чтобы говорить на нем хорошо.","English is one of the easiest languages to speak badly, but the most difficult to use well."
Что ты думаешь о войне в Персидском заливе?,What do you think about the Gulf War?
На каком поезде ты поедешь?,What train you are going to take?
У вас есть Будвайзер Лайт?,Do you have Bud Light?
"Я такого же роста, как он.",I'm the same height as he is.
"Объясните, пожалуйста, что здесь происходит?",Could you please explain what's going on here?
Эти вести причинили ей много боли.,The news caused her much pain.
"Это был год засухи, и многие животные голодали.","It was a dry year, and many animals starved."
У меня режутся зубы мудрости.,My wisdom teeth are coming in.
"Возможно, мы прибудем на станцию Токио около полудня.",It's possible we'll arrive at the Tokyo station around noon.
Том был в ужасе.,Tom was terrified.
Откройте счет.,Open an account.
Чем ты обычно занимаешься по выходным?,What sort of things do you do on weekends?
"Кто не знает чужих языков, не знает своего.",Whoever doesn't know a foreign language doesn't know their own.
Приходи попить чаю со мной.,Come and have tea with me.
Пора заканчивать смотреть телевизор.,It is time to stop watching television.
У тебя непростая работа.,Your job isn't easy.
Мне нравится окситанский язык.,I like the Occitan language.
"Можешь обращаться ко мне в любое время, когда захочешь.",You can call me at whatever time you want.
В то время на острове никто не жил.,No one lived on the island at that time.
Он игнорирует мои проблемы.,He ignores my problems.
Билл живёт рядом с морем.,Bill lives near the sea.
Этого не может быть!,This can't be!
"Возьми трубку, пожалуйста.","Answer the telephone, will you?"
Мой лучший друг всегда даёт мне хорошие советы.,My best friend always gives me good advice.
Вы готовы начать путешествие?,Are you ready to start your journey?
Моя шутка имела большой успех.,My joke went over very well.
Председатель выдвинул на встрече важный план.,The chairman put forward an important plan at the meeting.
Этот пёс смешанной породы.,This dog is a crossbreed.
Я хожу в частную школу.,I attend a public school.
Мы избрали его мэром.,We elected him mayor.
Сколько людей в этом хозяйстве?,How many people are there in this household?
Его дочь была наделена красотой и изяществом.,His daughter was endowed with beauty and grace.
Он скоро закончит читать эту книгу.,He's about to finish reading the book.
Боксёру нужны хорошие рефлексы.,Boxers need quick reflexes.
Боксёру необходима хорошая реакция.,Boxers need quick reflexes.
Малышка протянула свою крохотную ручку.,The baby held out his tiny hand.
Джон не очень хорошо говорит по-французски.,John doesn't speak good French.
Возраст учащихся находится в промежутке от 18 до 25 лет.,The students range in age from 18 to 25.
"То, что говорилось в газете о погоде, явно оказалось правдой.",What the newspaper said about the weather has certainly come true.
Я должен спешить?,Must I hurry?
В наше время цена на книги растёт.,The price of books is getting higher these days.
"Предполагалось, что сегодня я буду заниматься в библиотеке, но я проснулся около 12 часов дня.","Today, I was supposed to study at the library but I woke up around 12 o'clock."
Вчера вечером Том не разговаривал с Мэри совсем.,Tom didn't speak to Mary at all last night.
Я бы хотел продлить резервирование с трёх дней до пяти.,I'd like to change my reservation from three to five nights.
"По сообщению сегодняшней газеты, вчера в Чили было сильное землетрясение.","According to today's paper, there was a big earthquake in Chile yesterday."
Тюрьма изменила её?,Has prison changed her?
"На вечеринке было достаточно еды, чтобы досталось каждому.",There was enough food at the party for everyone to have some.
"Двадцать миль - большое расстояние, если идти пешком.",Twenty miles is a long distance to walk.
Поначалу они были фермерами.,Originally they were farmers.
"Том всегда чувствовал себя неудобно, высказывая своё мнение.",Tom never felt comfortable expressing his own opinion.
"То, что случилось затем, было ужасно.",What happened next was terrible.
"У неё это лучше получается, чем у меня.",She's better at it than I am.
Оставь больший промежуток между линиями.,Leave more space between the lines.
Взять такси будет стоить не меньше 2000 иен.,It will cost at least 2000 yen to take a taxi.
"Он был очень высокий и худой, с длинными руками и ногами.","He was very tall and thin, with long arms and legs."
"Садако смотрела на солнце, опускающееся на западе, и ослепла.",Sadako watched the sun lowering in the west and became blind.
Там вы найдёте друзей.,You will get friends there.
"Похоже, Том не желает принимать наше предложение.",Tom seems to be unwilling to accept our offer.
Он подвергся большому риску в джунглях.,He ran a great risk in the jungle.
Мы заплатили за еду вскладчину.,We shared the cost of the meal.
Он сделал это для сестры.,He did it for his sister.
"Том решил жениться на Мэри, несмотря на то, что его родители не хотели этого.",Tom decided to marry Mary even though his parents didn't want him to.
Я же опоздаю в школу!,I'll be late for school!
"Мои друзья всегда говорят, что я слишком замкнутый, а мои родственники всё время говорят, что я слишком скучный.","My friends always say I'm too reserved, but my family always says I'm too boring."
В Лондоне хорошая погода.,The weather is fine in London.
Эта улица сильно загружена.,There is heavy traffic on this street.
Фильм был хорош.,The movie was good.
Я не ем огрызки у яблок.,I don't eat apple cores.
Я был удивлён новостью о его смерти.,I was surprised at the news of his death.
В Женеве проводится множество международных конференций.,Many international conferences have been held in Geneva.
Почему ты не подстраиваешь свой образ жизни под обстоятельства?,Why don't you adapt your way of life to circumstances?
Я ничего не хочу пить.,I don't want anything to drink.
Я оббегал весь город в попытках занять немного денег.,I ran all over town trying to borrow some money.
Я не критиковала его.,I didn't criticize him.
Дом Тома недалеко отсюда вниз по улице.,Tom's house is just down the street from here.
Кен продолжал петь эту песню.,Ken kept on singing that song.
Языковые школы - отстой.,Language schools suck.
"Я не знаю, как работать на этом компьютере.",I don't know how to operate this computer.
Том каждый год покупает две-три камеры.,Tom buys two or three cameras every year.
Капли капали.,Drops dripped.
Хочу петь песню.,I want to sing a song.
Я тоже хочу знать!,I also want to know!
Отправьте машину скорой помощи.,Please send an ambulance.
Его слова вызвали недоразумение.,What he said has brought about a misunderstanding.
Я предпринял десятидневную поездку на остров Пасхи.,I went on a ten-day trip to Easter Island.
Что-то не то с нашей машиной - из двигателя идёт дым.,Something must be wrong with our car; the engine is giving off smoke.
Этот цветок хотел напасть на меня.,That flower tried to attack me.
Он сказал правду.,He told the truth.
Он сказал правду.,He said the truth.
Убирайся.,Get out.
Мука сделана из пшеницы.,Flour is made from wheat.
Богачи склонны смотреть на людей свысока.,The rich are apt to look down on people.
Она была обязана выйти замуж за этого старика.,She was obliged to marry the old man.
"Услышав эту новость, она выглядит счастливой.",She looks happy on hearing the news.
Она медленно продвигалась вперёд.,She slowly moved forward.
Прошлой ночью Тому приснился странный сон.,Tom had a weird dream last night.
На скольких языках вы научились свободно изъясняться?,How many languages have you mastered fluently?
Она страдает из-за тяжёлого заболевания.,She's suffering from a serious disease.
Китайцы - работящие люди.,The Chinese are a hard-working people.
Мои родители сейчас оба дома.,Both my parents are at home now.
"Пожилой человек вошёл в старую церковь со своим старшим сыном, его младшей дочерью и её маленьким ребёнком.","An old man entered the old church with his elder son, his younger daughter and her little baby."
Были закрыты двадцать направлений железных дорог.,Twenty railroads were closed down.
Это домашний джем.,This is homemade jam.
Я хочу быть лучше.,I want to be better.
Я сейчас на дежурстве.,I am on duty now.
Эта фирма управляется из-за границы.,The firm is under foreign management.
"Я хочу добраться до отеля, пока не стало темно.",I want to reach the hotel before it gets dark.
Ты не должен говорить такое при детях.,You shouldn't say that kind of thing when children are around.
Джимми часто приходит проведать меня на выходных.,Jimmy often comes to see me on weekends.
Почему я не понимаю по-английски?,Why don't I understand English?
"Английский всегда правилен, когда он красив.",English is never wrong when it is beautiful.
"Я добавил другое предложение и пометил его как ""старомодное"". Чего же ещё вам надо, крови?","I've added an alternative sentence and I've tagged it as 'old fashioned'. What more do you want, blood?"
"Тот из двух вариантов, который лучше, будет ещё и самым лучшим из этих вариантов.",Whichever is better out of two options is also best out of those options.
Видеть - значит верить.,To see is to believe.
Хочу ручного тигра.,I want a pet tiger.
Он прогнал собаку.,He drove the dog away.
"Бесполезно делать вид, что Вы ничего не знаете об этом.",It is no use pretending you know nothing about it.
Я хотел бы арендовать дом.,I'd like to rent a house.
"У женщин таз шире и ниже, а все его размеры больше, чем у мужчин.","In women, the pelvis is broader and lower, and all of its dimensions are larger, than in men."
Череп человека состоит из двадцати трёх костей.,The human skull consists of 23 bones.
В то время я был очень беден.,I was very poor in those days.
Моя сестра постоянно взвешивается.,My sister is always weighing herself.
Я ходил рыбачить с моим братом на речку.,I went fishing with my brother in the river.
Небо покрыто тучами.,The sky is covered with clouds.
"Том рассказал мне, что ему снилась Мэри прошлой ночью.",Tom told me that he had a dream about Mary last night.
Я забыл свой адрес электронной почты.,I forgot my email address.
Путешествовать за границу - одно из моих любимых занятий.,Traveling abroad is one of my favorite things.
Мэри верит в силу любви.,Mary believes in the power of love.
Слезы текли по моему лицу.,Tears ran down my face.
Пойдём вместе?,Shall we go together?
Где ближайшая художественная галерея?,Where's the nearest art gallery?
Я ошибался?,Was I wrong?
У меня чёрные глаза.,I have black eyes.
Мы сели лицом к лицу.,We sat down face to face.
Будете ещё стакан молока?,Won't you have another glass of milk?
Я расскажу тебе всё об этом.,I'll tell you everything about it.
Это не учение.,This is not a drill.
Он хотел быть богатым.,He wanted to be rich.
Том проигнорировал совет Мэри.,Tom ignored Mary's advice.
Стена дома была покрыта плющом.,The side of the house was covered with ivy.
Ты можешь ему доверять.,You can trust him.
Аня сегодня утром спешила.,Ann was in a hurry this morning.
Я сейчас не занят.,I'm not busy now.
Этот словарь не очень хорош.,This dictionary isn't any good.
Что ты сегодня делал?,What have you done today?
"Я не могу представить, почему он это сделал.",I can't figure out why he did it.
Езжай на автобусе.,Take a bus.
Езжай на автобусе.,Take the bus.
Это самоубийство!,This is suicide!
Я хотел бы жить в Италии.,I'd like to live in Italy.
Я не глухой.,I am not deaf.
Я не глухой.,I'm not deaf.
"Сожалею, что не исполнил своего обещания.",I regret not having kept my promise.
"Если ты хочешь быть стройной, следуй этой диете.","If you want to be slim, follow this diet."
"Пожалуйста, покажите мне другой фотоаппарат.",Please show me another camera.
Климат нашей страны умеренный.,Our country's climate is temperate.
Сегодня у нас первым уроком английский язык.,Our first lesson today is English.
"Пожалуйста, говорите как можно медленнее.",Please speak as slowly as possible.
Дети играют с игрушками.,The children are playing with toys.
"Сегодня совсем не так жарко, как было вчера.",It isn't anywhere near as hot today as it was yesterday.
Сколько у тебя уроков по понедельникам?,How many classes do you have on Mondays?
Её дом в два или три раза больше нашего.,Her house is two or three times as large as ours.
Мы пришли навестить вас.,We have come to pay you a visit.
Я уже помыл посуду.,I have already washed the dishes.
"Я хотел съездить в Бельгию ещё раз, пока страна ещё существовала.","I wanted to go to Belgium again, as long as the country was still there."
Этот отель был основан около 50 лет назад.,That hotel was established about 50 years ago.
"Когда приедете в Осаку, свяжитесь со мной, пожалуйста.","When you arrive in Osaka, please contact me."
"Уж если кто и сможет, так это Билл.",If anyone can do it Bill can.
Она помешала суп ложкой.,She stirred the soup with a spoon.
"Том сказал, что не хочет быть водителем.",Tom said that he didn't want to drive.
"Давай решим, какие места мы будем посещать.",Let's decide on the places we'll visit.
Это эссе принадлежит мне.,This essay is my own.
"Я ни на мгновение не усомнился, что ты права.",I do not for a moment think you are wrong.
Ему действительно нравится играть на гитаре.,He really likes playing the guitar.
Почему ты вчера ушёл с урока?,Why did you leave the class yesterday?
Том явно лучше меня разбирается в этом вопросе.,Tom certainly has a better understanding of this matter than I do.
"То, что он сказал, возможно, является правдой.",What he said could possibly be true.
"Я не люблю солнце, мне больше нравится дождь и танцевать под ним.","I don't like the sun, I prefer the rain and dance under it."
В будущем мне придётся взять на себя бизнес моего отца.,I'll have to take over my father's business in the future.
"Возможно, болезнь была излечена усилиями врачей.",Perhaps the illness is cured through medical treatment.
"Сказать по правде, Америка меня не волнует.","To tell you the truth, I don't care for America."
Вода в этой реке очень чистая.,The water in this river is very clean.
Обычно волки не нападают на людей.,Wolves won't usually attack people.
"Сожалею, но мне пора домой.","I'm sorry, but I'm going home."
Том - капитан этой бейсбольной команды.,Tom is the captain of this baseball team.
Никогда не слышал его пения.,I never heard him sing.
"Я не птица, но хотел бы ей быть.","I am not a bird, but I'd like to be."
Молчание - золото.,Silence is golden.
Как ты вошёл? У тебя есть ключ?,How did you get inside? Do you have a key?
Как ты вошёл? У тебя есть ключ?,How did you get in? Do you have a key?
"Том видел, что Джон и Мэри держались за руки.",Tom saw John and Mary holding hands.
У тебя есть ещё какие-нибудь вопросы?,Do you have any other questions?
Не могли бы вы подсказать мне путь до станции?,Could you tell me the way to the station?
Этот парень не выказывал страха.,That boy displayed no fear.
Могу я сесть рядом с вами?,Can I sit beside you?
Она попросила меня встретить её на станции.,She asked me to pick her up at the station.
Эта машина производит тысячу винтов в час.,This machine cranks out a thousand screws an hour.
"На улице холодно, поэтому тебе лучше надеть пальто.","Since it's cold outside, you'd better put your overcoat on."
В 9:35 поезд останавливается в Бэмбэри.,The 9:35 train stops at Bambury.
"Я хочу знать, будешь ли ты завтра свободен.",I want to know if you'll be free tomorrow.
"Если б я мог говорить по-английски так же свободно, как вы!",If only I could speak English as fluently as you!
Мы сели в его машину и поехали на море.,We got into his car and went to the sea.
Она испугалась грома.,She is frightened of thunder.
Том точно не получит моего голоса.,Tom certainly won't get my vote.
Во сколько в среднем оценивается дом в вашем районе?,What is the value of an average home in your area?
"Проснувшись и обнаружив, что она осталась одна в комнате, малышка начала плакать.",The child began to cry as she woke to find herself left alone in the room.
"Но, к сожалению, это произойдёт не так быстро.","But unfortunately, this will not happen very soon."
По воскресеньям я в школу не хожу.,I don't go to school on Sundays.
По воскресеньям я в школу не хожу.,Sundays I don't go to school.
Она должна понести ответственность за убийство.,She should be charged with murder.
"Мы не можем точно сказать, сможем ли мы прийти.",It is doubtful whether we shall be able to come.
Отец занят постройкой стены.,Father is busy putting up a wall.
"Я слушал, но не мог взять в толк, о чём они говорят.",I listened but couldn't make out what they were saying.
"Я был бы благодарен, если бы вы согласились на мой план.",I would appreciate it if you could agree to my plan.
"Я надеюсь, что скоро настанет тот день, когда мы сможем путешествовать на Луну.",I hope the day will soon come when we can travel to the moon.
Твои родители должны это знать.,Your parents ought to know it.
Я не могу трогать труп без перчаток.,I can't touch the corpse without gloves.
Это твоё первое назначение.,This is your first assignment.
"Тебе следует читать много книг, пока ты молод.",You should read many books when you are young.
Он сказал мне про изменения в плане.,He told me about the change in the plan.
"Покупателей не было, поэтому мы закрыли магазин раньше.","There were no customers, so we closed the shop earlier."
"Люди, следующие за диктатором, подобны стаду овец.",The people followed the dictator like so many sheep.
"Я не припомню, чтобы в детстве я мечтал стать пожарным или игроком бейсбольной команды.",I don't recall ever wanting to be a fireman or a baseball player as a youth.
Он имеет острый язычок.,He has a sharp tongue.
Петр решил уехать завтра.,Peter has decided to leave tomorrow.
"Они требовали, чтобы мэр ушел в отставку.",They demanded that the mayor should resign.
"Он счастлив, несмотря на свою неудачу.",He feels happy in spite of his failure.
Мэг много говорит.,Meg talks a lot.
Эксперимент привел к великому открытию.,That experiment led to a great discovery.
"С первого взгляда Япония может показаться мирным и спокойным местом, но на самом деле там хватает проблем.",Japan may appear to be peaceful and tranquil on the surface but the fact is that there are a lot of deep-rooted problems.
"Для приготовления торта обязательно нужны яйца, масло и сахар.","When making a cake, you must use eggs, butter and sugar."
"До Эйнштейна учёные думали, что космос бесконечен.","Before Einstein, scientists used to think that space had no end."
Мы уже привыкли к тому шуму.,We have got used to that noise.
Он не освободится до четырёх.,He wouldn't be available until four.
Том согласился помочь Мэри убраться на кухне.,Tom agreed to help Mary clean the kitchen.
Многие потеряли свои дома в результате землетрясения.,Many people lost their homes after the earthquake.
До появления видеоигр дети играли в ковбоев и индейцев.,Before the advent of video games children played cowboys and Indians.
Она купила книгу в магазине.,She bought a book at the shop.
"Капитан уверил нас, что это безопасно.",The captain assured us that there would be no danger.
"Назови причину, по которой тебя не было вчера.",Give me the reason for which you were absent yesterday.
Это красивый цветок.,This is a beautiful flower.
Мы не должны позволять этим проблемам влиять на проект.,We must not allow these problems to affect the project.
У нас была тайная встреча.,We had a secret meeting.
"Том слышал, как открылась дверь.",Tom heard the door open.
"К нашему удивлению, её предсказание сбылось.","To our surprise, her prediction came true."
Предлагаю отложить это до завтра.,You should leave it for tomorrow.
Джейн очень любит свою работу и не хочет увольняться.,Jane is very content with her job and has no desire to quit it.
Мы должны следовать правилам игры.,We must follow the rules of the game.
Том совал свой нос куда не просят.,Tom stuck his nose where it didn't belong.
Я не против подождать.,I don't mind waiting.
Где ты их видел?,Where did you see them?
Репортёр отказался называть свои источники.,The reporter refused to name his sources.
Основная культура Японии - рис.,The main crop of Japan is rice.
У этого мальчика сильное и здоровое тело.,This boy has a strong and healthy body.
Я могу разорвать тебя голыми руками.,I can rip you apart with my bare hands.
"Она достаточно зрела, чтобы выносить ребёнка.",She's mature enough to bear a child.
Я люблю лошадей.,I like horses.
"Ему кажется, что он герой.",He believes that he is a hero.
Боб вновь увидел его.,Bob saw him again.
Осеннее небо - прозрачно и безоблачно.,The autumn sky is clear and serene.
Могу я одолжить карандаш?,Could I borrow a pencil?
Я боюсь обидеть тебя.,I am afraid of offending you.
В нашем университете есть общежитие.,My university has a dormitory.
"Уверены ли мы, что всё будет прекрасно?",Are we sure that everything will go fine?
На вечеринке все были хорошо одеты.,"At the party, everybody was well-dressed."
"Она даже говорит по-французски, не говоря уж об английском.","She can speak French, to say nothing of English."
Он был очень бедным.,He was very poor.
Когда-то жила одна старая женщина на маленьком острове.,Once there lived an old woman on a small island.
Тысячи людей потеряли свою работу.,Thousands of people lost their jobs.
Я уверен в твоём успехе.,I am certain of your success.
Я уверен в твоём успехе.,I'm confident that you'll succeed.
Я попросил её позвонить мне в пять часов.,I asked her to call me at five o'clock.
Мой папа - учитель английского языка.,My father is a teacher of English.
Можно ли за деньги купить счастье?,Can money buy happiness?
Робот вышел из-под контроля.,The robot went out of control.
Он ещё бодрячком.,He is still very much alive.
Том позавчера в музее видел несколько интересных мечей.,Tom saw some interesting swords at the museum the day before yesterday.
Его преимущество в хорошем образовании.,He has the advantage of a good education.
Он - заслуживающий доверия начальник.,He is a dependable boss.
У него замечательная память.,He has a remarkable memory.
"Пожалуйста, убедись, что вода чистая.",Please make sure the drinking water is pure.
На этом обширном континенте полно ископаемого горючего.,Fossil fuels are abundant in that vast continent.
