Как тебя зовут?	Дæ ном куыд хуыйны?
Скажите мне об этом завтра, пожалуйста.	Сом иу мын æй зæгъут, табуафси .
Том вышел из тюрьмы по УДО.	Том рацыд ахæстонæй УДО
Ты что это хочешь сказать?	Уый дæ цы фæнды зæгъын?
Я просто хотел пойти домой.	Мæн фæндыд хæдзармæ ацæуын.
Я не знаю, что Том посоветовал Вам сделать, но не рассказывайте об этом Мэри.	Æз нæ зонын,цы уын загъта Том саразын, фæлæ йæ ма радзурут Мэрийæн.
Пусть Том немного повеселится.	Уадз мæ Том гыццыл йæ хи аирхæфса.
Я не хотела их беспокоить.	Нæ мæ сæ фæндыд бахъыгдарын.
Важно, чтобы вы понимали.	Стырдзырду , цæмæй йæ æмбарат.
У него красные цветы.	Уымæн сырх хуыз у.
Давайте за это выпьем.	Цæйут уый тыххæй бануазæм .
Поделите, пожалуйста, пиццу на три части.	Табуафси , адих кæнут пиццæ æртæ хайыл.
Вот то, чего вы хотели.	Мæнæ, сымах цы хъуыдис .
Не знаю, как ты, а я уже ничего не понимаю.	Нæ зонын , ды куыд , фæлæ æз ницы мбарын.
Осторожно, у шефа сегодня плохое настроение.	Сабыргай, хицауæн абон æвзæр зæрдæйы ахаст ис .
Мы с ним её боимся.	Мах дзы тæрсгæ кæнæм .
Я не знаю, на каком автобусе ехать.	Æз нæ зонын , кæцы автобусыл хъæуы цæуын.
Я рассказал ей, что случилось.	Æз йын радзырдтон , цы хабар æрцыдис уый ,
Может быть, я просто сумасшедший.	Æвæццæн , æз æдылы дæн .
Ты ведь часто говоришь с друзьями по-французски?	Ды хо арæх дзурыс де’ мбæлдтаимæ французаг æвзагыл ?
Повсюду был мусор.	Алы рдыгæй уыдис бырон.
Ты хорошо говоришь на английском, не так ли?	Ды хо дзæбæх дзурыс англисаг æвзагыл, афтæ нæу ?
Он снова закрыл глаза.	Ногæй та йæ цæстытæ сыхгæдта.
Почему она не захотела помочь?	Цæмæнæ йæ бафæндыд баххуыс кæнын?
Я хочу пиццу.	Пиццæ мæ хъæуы.
Вы слишком старая.	Сымах гæр зæронд стут .
Сегодня светит солнце.	Абон хур кæсы.
Он будет кричать.	Хъæр кæндзæнис.
Пожалуйста, просто отвези меня домой.	Табуафси , хæдзармæ ма мæ акæнут.
Жизнь? Не говори мне про жизнь.	Цард? Ма мын дзур царды тыххæй .
Том всё ещё хочет, чтобы вы помогли ему.	Томы нæма фæнды , цæмæй йын баххуыс кæнат.
Не хочешь пойти погулять в парк?	Нæ дæ фæнды атезгъо кæнын паркы рдæм.
Он надел лучшую одежду.	Йæ хуыздæр дзаума скодта.
Том простит меня.	Том мын æй ныххатыр кæндзæнис.
Её парень - идиот.	Йæ уарзон -сæрхъæн у .
Собака должна оставаться на улице!	Куыдз хъуамæ уынгы уа.
Я бы купил его, если бы он не был такой дорогой.	Æз æй балхæдтаин, афтæ зынаргъ куы нæ уыдаит уæд .
Я подождал три минуты.	Æз æнхъæлмæ кастæн æртæ минут .
У тебя есть какое-нибудь хобби, Том?	Исты хуызон хобби дын ис , Том ?
Цена будет расти.	Аргъ рæздзæнис .
Том тебя послушал?	Том дæм байхъуыста?
У нас есть место.	Махæн ис бынат.
Она не знала, что говорить.	Цы дзура, уый нæ зыдта.
Ты из Австрии или из Австралии?	Ды Австрийæ дæ æви Австралийæ?
Я не расслышал его имени.	Йæ ном йын нæ фехъуыстон.
Я звонил утром Тому, но он не брал трубку.	Æз дзырдтон райсомæй Томмæ, фæлæ нæ иста трубка .
Однажды он убил себя.	Иу хатт йæхи амардта.
Том отказался отвечать на наши вопросы.	Том несразы ис дзуыпп дæттын нæ фарстатæн .
Я встретил его вчера.	Знон фе’мбæлдыстæм.
Том и Мэри не думают, что они храпят.	Том æмæ Мэри нæ хъуыды кæнынц, мæ хуыр-хуыр кæнынц.
Когда она отправила тебе свои фотографии?	Кæд дæм арвыста йæ нывтæ?
Моя девушка уехала в Канаду.	Мæ уарзон ацыдис Канадæмæ.
Почему у тебя на глазу повязка?	Дæ цæст баст цæмæн у .
Том посоветовал Мэри взять с собой зонтик.	Том загъта Мэрийæн цæмæй йе’ мæ райса зонт .
У Тома есть кошка.	Томæн ис гæды.
Я ничего не хочу забывать.	Мæн ницы фæнды рох кæнын.
Голосуй за Тома.	Хъæлæс ратт Томæн.
Том подстрелил собаку.	Том куыдзы фе’хста .
Мэри приехала с Томом.	Мэри æрцыдис Томимæ.
Не приближайся к нам!	Æввахс мæм ма цу!
То платье тебе идёт.	Уыцы къаба дыл фидауы.
Я знаю тебя много лет.	Бирæ аз тæ дыл цæуы зонынæй.
Я разговариваю во сне.	Æз фыны фæ дзурын .
Что вы пели?	Цы зарыдыстут?
Я не могу вспомнить, что ел вчера вечером.	Мæ бон нæу рхъуыды кæнын, цы хордтон знон изæрæй.
Погода очень плохая.	Боныгъæд тынг æвзæр у .
Тебе надо помыть руки.	Дæ къухтæ ныхсын дæ хъæуы.
Вопрос в том, придёт она всё-таки или нет.	Фарста уый мидæг ис , æрбацæдзæн æви нæйы.
Сколько яиц?	Цал аик?
Расскажи мне, как играть в эту игру.	Радзурма мын , куыд хъæуы хъазын ацы хъазтæй.
Мы хотим помочь нашим друзьям.	Мах фæнды баххуыс кæнын не’мбæлдтæн.
Я знаю, что мне надо многому научиться.	Æз зонын , мæн бирæ хъæуы нæма сахуыр кæнын.
Ты нас спас.	Ды мах фе’рвæзын кодтай.
Я думал, что Том учит французский.	Æз хъуыд кодтон , Том французаг ахуыр кæны.
Я читаю это предложение.	Æз кæсын ацы хъуыдыйыд.
Я буду минут через тридцать.	Æз уыдзынæн дæс æмæ ссæдз минуты фæстæ.
Я узнал твой секрет.	Æз дын базыдтон дæ сусæг .
Все знают, что мы этого не делали.	Иууылдæр зонынц, мах уый кæй нæ сарæзтам уый.
У меня есть для тебя сообщение от неё.	Мæнмæ дын ис сообщени уымæй.
Мэри думает, что Том - убийца.	Мэри хъуыды кæны, Том -лæг марæг кæй у уый .
Ваша корова ест наши цветы.	Дæ хъуг нæ дидинджытæ хæры.
Ты сам затеял этот разговор.	Ды дæхæдæг рафæнд кодтай ацы ныхас.
Выживем только мы.	Баззайдзыстæм æрмæстæр мах.
Том опять начал ходить в церковь.	Том ногæй райдыдта аргъуанмæ цæуын.
Я люблю спать с открытым окном.	Æз уарзын фынæй кæнын гом рудзынгимæ.
У Мэри есть рот, но нет языка.	Мэрийæн дзых ис, фæлæ æвзаг нæй.
Мы всё ещё друзья?	Æмбæлттæ ма стæм?
Скажите Тому, чтобы не уходил.	Томæн зæгъ цамæ ма ацæуа.
У вас продаются авокадо?	Авокадо уæй кæнут?
Сейчас узнаем.	Ныртæккæ базондзыстæм.
Том дал ключ мне, и он до сих пор у меня.	Том мын дæгъæл радта æмæ мæнмæ ма йы.
Том уснул на полу.	Том пъолыл бафынæй кодта.
Я обычно здесь завтракаю.	Æз арæх хæрын ам райсомæй.
Мне очень нравится такая погода.	Æз тынг уарзын ахæм бонахаст.
Вы впервые в этом городе?	Ды ацы горæты фыццаг хатт дæ?
Вы впервые в этом городе?	Смах ацы горæты фыццаг хатт стут?
Он забыл свитер.	Лæппу свитер ферох кодта.
Кто в наше время пишет письма?	Мах рæстæджы чи фыссы писмо?
Том весь день плавал.	Том æнæхъæн бон кæугæ кодта.
Вы пробовали этот торт?	Ацы торт апроб кодтай?
Я скажу нет.	Æз зæгъдзынæн на.
Сейчас поем и поеду.	Ныртæккæ бахæрдзынæн æмæ ацæудзынæн.
Голова у Лейлы была побрита.	Лейлайæн йæ сæр даст уыди.
Мой отец очень устал.	Мæ фыд тынг бафæллади.
Я знаю её уже десять лет.	Æз æй дæс азы зонын.
Том сказал мне сюда прийти.	Том мын загъта ардæм æрбацæуын.
Так можно сказать по-русски?	Афтæ уырыссагау гæнæн ис зæгъын?
Том на самом деле никогда не хотел продавать свой дом.	Том æцæгæй йæ хæдзар никуы нæ фæндыди уæй кæын.
Том выиграл состязание.	Том ерыс рамбылдта.
Том и Мэри говорят.	Том æмæ Мэри дзургæ кæнынц.
Том мало знает об Австралии.	Том Австралийы тыххæй гыццыл зон.
Куда пошли другие девушки?	Кæдæм ацыдысты иннæ чызджытæ?
Он пойдёт пешком.	Лæппу фистæгæй ацæудзæн.
Мне пойти с вами?	Смахимæ ацæуон?
Я не люблю покупать дорогие вещи.	Æз нæ уарзын æлхæнын зынаргъ дзаумæттæ.
Этот кот не охотится на мышей.	Ацы гæды мыстытыл цуан нæ кæны.
Вы пьёте чай?	Цай нуазут?
Ты будил Тома.	Ды Томы хъал кодтай.
Спой с нами.	Махимæ азар.
Какой вам нравится?	Уæ зæрдæмæ чи цæуы?
Кто в этом поезде?	Чи йы ацы поезды?
Том был не согласен.	Том разы нæ уыди.
Мэри показала ему мир.	Мэри йын дуне равдыста.
Он будет здесь около двух часов.	Лæппу ам уыдзæн дыууæ сахаты.
Я хочу знать, как в точности умер Том.	Мæн фæнды зонын Том куыд амарди уый.
Я останусь только на несколько дней.	Æз баззайдзынæн æрмæстæр цалдæр боны.
Я ничего не хотел.	Мæн ницы нæ хъуыди.
Мне сложно его понять.	Мæнæн зын у йæ бамбарын.
Прекратите орать!	Мауал хъæр кæнут!
Том всё ещё читает.	Том ма кæскæ кæны.
Приближается гроза.	Тæрккъæвда фæцæйхæццæ кæны.
Вы не хотите знать, где я был?	Нæ уæ фæнды зонын кæм уыдтæн?
Она родила сына.	Ус лæппуйы райгуырдта.
Покажи мне на карте Пуэрто-Рико.	Картæйыл мын Пуэрто-Рико равдис.
Это турецкая традиция.	Ай у туркаг традици.
Я работаю здесь.	Æз ам кусын.
Пожалуйста, успокойся.	Табуафси басабыр у.
Нет.	На.
Солнце больше Луны.	Хур мæйы дынджардæр у.
У Вас есть манго?	Манго уæм ис?
Почему вы пошли в политику?	Политикæмæ цæмæн ацыдыстут?
Что сегодня было?	Абон цы уыди?
Думаю, Том вам скажет.	Мæнмæ гæсгæ Том уын зæгъдзæн.
Порядковый номер урана - 92.	Радон номыр уранæн - 92.
Я тут где-то свой ключ потерял.	Æз ам кæмдæр мæ дæгъæл фесæфтон.
Ты почти прав.	Растмæ æввахс дæ.
Ты сказал мне, что был там вчера.	Ды мын загътай знон уым уыдтæ.
Его голос пугает меня.	Йæ хъæлæс мæ тæрсын кæны.
Я видела вас вчера.	Æз уæ знон федтон.
Я никогда не видела жирафа до того, как я посетила зоопарк.	Æз никуы нæ федтон жирафы цалынмæ сырдонмæ нæ ацыдтæн уæдмæ.
Орёл белый.	Цæргæс урс у.
Как мы можем остановить Тома?	Томы нæ бон куыд у бауромын?
Том положил деньги в сейф.	Том æхца сейфы сывæрдта.
Мы этого не узнаем.	Мах æй нæ базондзыстæм.
Девушка с длинными волосами - Мэри.	Чызг даргъ сæрыхъуынтимæ Мэри у.
Перестань меня кусать.	Мауал мыл хæц.
Где вы вчера были? Я вас вечером искала.	Кæм уыдыстут знон? Æз уæ изæрæй агургæ кодтон.
Мы больше не придём.	Мах нал æрбацæудзыстæм.
Почему ты не ищешь работу?	Куыст цæуылнæ нæ агурыс?
Не забывайте, кто вы.	Ма рох кæнут чи стут уый.
Не стесняйтесь спрашивать.	Фæрсын æфсæрмы ма кæнут.
Пьер заболел.	Пьер барынчын и.
Тебе нехорошо?	Æвзæр дын у?
Я буду здесь в понедельник.	Æз ам къуырисæры уыдзынæн.
Он любит кошек?	Гæдытæ уарзы?
Ты хочешь, чтобы я с ней поговорил?	Дæу фæнды , цæмæй йе’мæ аныхас кæнон?
Я купил немного вот этого сыра.	Æз ацы цыхтæй гыццыл балхæдтон.
Мне нужно купить одну.	Мæн хъæуы иу балхæнын.
Ни Том, ни Мэри не были удивлены.	Нæдæр Томмæ , нæдæр Мэримæ диссаг нæ фæкастис.
Она пытается свистеть, но не знает, как.	Æхсистт кæнын хъавы фæлæ нæ зоны куыд.
Мы бывали там раньше.	Мах раздæр уым уыдыстæм.
Я никогда не изучал украинский.	Украинаг ахуыр никуы нæ кодтон.
А почему нет?	Цæмæннæ?
Говорят, он очень богатый.	Адæм зæгъы тынг хъæздыг у.
Ну извини, это уже не мои проблемы.	Бахатыр кæн , уыдон мæ райхалинаг фарстытæ не’ сты .
Том сел на лошадь.	Том бæхыл сбадти.
Родители разрешают тебе есть конфеты?	Ныййырджытæ дын уазынц адджинаг хæрын?
Том всегда помогал людям бесплатно.	Том алы хатт дæр адæмæн фе’хуысс кæны лæварæй .
Чего от вас хотели эти двое мужчин?	Цы хъуыдис уыцы дыууæ нæлгоймагы сымахæй?
Возьмите мою машину.	Мæ машинæ райсут.
Том лгал другим.	Том сайдта иннæты.
Это всё для вас.	Алцыдæр смахæн.
Земля слишком маленькая.	Зæхх æгæр гыццыл у .
Мы считали тебя сыном.	Мах дæ нæ лæппуйыл нымадтам.
Предложения с номером 264405 не существует.	Хъуыдыйад 264405 номыримæ нæй.
Он жил один.	Иунæгæй царгæ кодта.
Я вышел раньше, чтобы сесть на первый автобус.	Æз рахыстæн раздæр , цæмæй фыццыг автобусыл сбадон.
Я дарю ей это.	Æз йын ай балæвар кæндзынæн .
Вы боитесь собак?	Куитæй тæрскæ кæнут?
Не покажешь мне свой альбом?	Дæ альбом мын нæ равдисдзынæ?
Том сломал себе обе ноги.	Том йæ дыууæ къах дæр ацъæл кодта.
Я должна остановиться.	Мæн хъæуы бауромын.
Кто Вас прислал?	Чи уæ æрбарвыста?
Наденьте эту шаль.	Ацы кæлмæрзæн скæнут.
Нам нужно отдохнуть друг от друга.	Махæн хъæуы кæрæдзийæ баулæфын.
Болезнь уносит здоровье.	Низ ахæссы æнæниздзинад.
Тому и Мэри нравится такая музыка?	Том æмæ Мэрийы зæрдæмæ цæуы ахæм музыкæ?
Два крольчонка, белый и чёрный, жили в большом лесу.	Дыууæ хæдзарон тæрхъусы, урс æмæ сау, дынджыр хъæды цардысты.
Я потанцую с ним.	Æз акафдзынæн йе’мæ.
Мэри завопила.	Мэри ныхъхъæр кодта.
Куда он положил свой ключ?	Кæм сывæрдта йæ дæгъæл?
Том сидел один в темноте.	Том иунæгæй бадтис талынгы.
Ответа долго не было.	Дзуап бирæ нæ уыди.
Это не детские книги.	Сабион чингуытæ не сты.
Она поймала курицу.	Чызг карк æрцахста.
Ты из Нью-Йорка?	Нью-Йоркæй дæ?
Я не могла защитить её.	Мæ бонæй не’сси бахъахъæнын.
Видите, как надо?	Уынут, куыд хъæуы?
Том, наверное, не знает телефон Мэри.	Том, æвæццæгæн, Мэрийы телефон нæ зоны.
Почему ты просто не сказал ему?	Цæмæнæ йын æй загътай?
Мы скоро узнаем всё, что нам нужно.	Мах тагъд базондзыстæм, цы нæ хъæуы уый .
Вы тоже новенькие?	Сымах дæр нæуджытæ стут?
Мы все к этому готовы.	Мах уымæ цæттæ стæм .
Я себе нравлюсь.	Æз мæ зæрдæмæ цæуын.
Он спрятан где-то в лесу.	Æмбæхстис кæм дæр хъæды.
Том каждый день гулял с собакой.	Том алы бон йæ куыдзимæ тезгъо кæны.
Когда родились твои дети?	Кæд райгуырдысты дæ сывæллæттæ ?
Мне нужно поехать в Бостон.	Мæн хъæуы Бостонмæ ацæуын.
Вы всё ещё играете на гитаре?	Сымах нæма хъазут гитарæйыл?
Ты ещё поёшь с Томом?	Ды нæма Томимæ зарыс?
Я не хочу такой диван покупать.	Мæн нæ фæнды ахæм диван æлхæнын.
Том покрасил волосы.	Том сахуырста йæ сæрыхъуынтæ.
Нам нельзя здесь плавать.	Махæн нæй гæнæн ам ленк кæнын.
И где он живёт, этот Том?	Кæм цæры ацы Том?
Конечно, вы правы.	Куыннæ , сымах раст стут .
Была моя очередь?	Мæ рад уыдис ?
Я вернусь через три недели.	Æртæ къуырийы фæстæ фæстæмæ æрбацæудзынæн.
Мы отвезём тебя домой.	Мах дæ дæхимæ аласцыстæм.
Иди обратно внутрь.	Фæстæмæ мидæмæ бацу.
Под шум дождя хорошо думается.	Къæвдайы хъæлæбамæ хорз хъуыды кæны.
Следующей весной в поеду в Бостон.	Иннæ уалдзæджы Бостонмæ ацæудзынæн.
Том, дашь мне домашку по математике списать?	Том , ратт ма мæ математикæйæ хæдзарон куыст сфыссын?
Я часто дарю ей цветы.	Æз йын арæх балæвар кæнын дидинджытæ.
Наблюдайте за ним.	Йæ фæстæ кæскæ кæнут.
Можно мне его увидеть?	Гæнæн ис мæ йæ фенон ?
Думаю, Том сказал мне правду.	Хъуыды кæнын, Том мын раст загъта.
Я родился в том же году, в котором умер мой дед.	Æз райгурдтæн уыцы аз , кæцыйы амардис мæ баба.
Раньше это было кафе.	Раздæр кафе уыди.
Это мои.	Адон мæн сты.
Не думаю, что Том поедет в Бостон.	Нæ хъуыды кæнын, мæ Том Бостонмæ ацæудзен.
Я написал тебе десять писем.	Æз дын дын дæс писмойы ныффысстон.
Мы приехали на машине.	Мах машинæйыл æрбацыдыстæм.
Кто выпил всё пиво?	Æнæхъæн бæгæны чи банызта.
Джуди обожает танцевать.	Джуди тынг уарзы кафын.
У Тома с французским гораздо лучше, чем у меня.	Томæн французаг æвзагимæ бирæ хуыздæр у , мæуонæй.
Просто забудь!	Ферохæй кæн!
Я хочу большую свадьбу.	Мæн хъæуы стыр чындзæхсæв .
Эти часы надо починить.	Ацы сахат хъæуы саразын.
Хочешь погулять со мной завтра вечером?	Фæндыдæ ме’мæ атезгъо кæнын сом изæр ?
Мы с Томом пойдём за Мэри.	Мах Томимæ Мэрийы фæстæ ацæуæм.
Они взяли Тома с собой.	Уыдон Томы семæ райстой.
Вы американец или европеец?	Сымах америйнаг стут æви европейаг?
Они знают, что мы сделали.	Уыдон зонынц мах цы скодтам уый.
У нас две лодки.	Махмæ ис дыууæ лодкæйы.
Том говорит мне, что у нас проблема.	Том мын загъта,проблемæтæ нын ис уый .
Я всё лето буду в Бостоне.	Æз æнæхъæн сæрд Бостоны уыдзынæн.
Ты не хочешь знать, почему я это сказал?	Нæ дæ фæнды зонын, цæмæ загътон афтæ уый ?
Он живёт беззаботно.	Нæмæт цард кæны.
Я хочу, чтобы ты отвёз меня обратно в Бостон.	Мæн фæнды цæмæй мæ Бостонмæ фæстæмæ аласай.
Тебе стоит с кем-нибудь поговорить.	Дæу хъæуы искæимæ аныхас кæнын.
Я знаю нескольких друзей Тома.	Æз зонын цалдæр Томы æмбалы.
Родители назвали ребёнка Акира.	Ныййырджытæ сывæрдтой сæ сывæллоныл Акира.
У меня есть веб-камера.	Мæнмæ ис веб-камерæ.
Стол длинный?	Стъол даргъ у?
Как вы научились танцевать?	Куыд сахуыр кодтай кафын?
Я никогда не хожу босиком.	Æз бæгъæввадæй никуы нæ фæцæуын.
Езжайте к вокзалу!	Вагзалмæ ацæут.
Что такое латынь?	Латынь цы у?
Ты мне сказал никому об этом не говорить.	Ды мын загътай цæмæй макæмæн дзурон уый тыххæй .
Побрейся.	Дæхи адас.
По-моему, так лучше.	Мæнмæ гæсгæ , афтæ хуыздæр у .
Мне нужно выучить японский язык.	Мæнæн хъæуы япойнаг æвзаг сахуыр кæнын.
У неё уйма книг.	Бирæ чингуытæ йæм ис.
Сколько риса ты ешь каждый день?	Цас хæрыс пырындз нæхъæн бон ?
Они летели.	Тæхгæ кодтой.
Ты это специально делаешь?	Ды барæй кæныс?
Том - портной.	Том хуыйæг у.
Сколько раз ты это сделала?	Цал хатты ай скодтай?
Волки - грозные хищники.	Бирæгътæ тасуадзæг тугдзыхтæ сты.
Текст готов для печати.	Текст цæдтæ у мыхуыр кæнынмæ.
Одно красное, а другое белое.	Иу дзы сырх уыди иннæ та урс.
А что, если она не права?	Мæ уæдтама раст у ?
Ты ещё куда-то хочешь поехать?	Фæнды ма дæ искуыдæм ацæуын?
Разве это не английская книга?	Ай англисаг чиныг нæу?
Ей тридцать один.	Æртын иу аз йыл цæуы.
Я опустил руки.	Æз мæ къухтæ ауахтон.
Я правду говорю, Том.	Æз раст дзурын , Том .
Он разговаривает во сне.	Уый фынæйæ дзургæ кæны.
Где твои внучки?	Кæм сты дæ фыртычызджытæ?
Мне очень нравится русский.	Æз тынг уарзын уырыссаг.
Том понимал.	Том хъуыды кодта.
Я получил билеты бесплатно.	Æз райстон билет лæварæй.
Кого же мне пригласить?	Кæй фæхонон?
Ты знаешь Риэ Миядзаву?	Ды зоныс Риэ Миядзавæйы?
Приходите на собрание.	Æрбацыт иу æмбырдмæ .
Вы тоже были в Бостоне?	Сымах дæр уыдыстут Бостоны?
Телефон перестал звонить.	Телефон нал дзуры .
Скажите ему, чтобы он ей помог.	Зæгъ ма цын, цæмæй йын аххуыс кæна.
Это очень трудная работа.	Тынг зын куыст у.
Как только он вернётся, сообщи мне.	Куыддæр фæстæмæ æрбаздæха, афта иу мын зæгъ.
У этой девочки голубые глаза.	Ацы чызгæн цъæх цæстытæ ис .
У Дженни есть пистолет.	Дженнимæ ис дамбаца .
Я тебя почти не слышу.	Зæгъæн ис мæ дæ нæ хъусын.
Хотите познакомиться с Томом?	Фæнды уæ Томимæ базонгæ кæнын?
Он вчера спал до десяти часов.	Знон дæс сахат мæ фынæй кодта.
Это правильно?	Ай раст у ?
Когда прочитаешь это письмо, сожги его.	Куы бакæсай ацы фыстæг , уæд иу æй басудз.
Пойдём в выходные на рыбалку?	Цом улæфæнбонты кæсаг ахсынмæ.
Я считаю Тома идиотом.	Æз нымайын Томы сæрхъæныл.
Я отправила их домой.	Хæдзармæ сæ арвыстон.
Кто ел?	Чи хордта?
Я слышал выстрел.	Æз фе’ хъуыстон æхст
На его месте должен был быть я.	Йæ бынаты хъуамæ æз уыдаин.
Как ты думаешь, сколько слов в этой книге?	Куыд хъуыды кæныс , ацы чиныгы цал ныхас ис ?
Погода действительно дрянь.	Боныгъæд цæгæй дæр æвзæр у .
Могу я пройти?	Мæ бон у ахизын?
Мужчина поднял руку, чтобы задать вопрос.	Нæлгоймаг йæ къухыл схæцыд , цæмæй фарста ратта.
Сколько вам пришлось ждать?	Цас уын бахъуыдис æнхъæлмæ кæсын?
Том не любит математику.	Том математикæ нæ уарзы.
Мы не напугались.	Мах нæ фæтарстыстæм.
Как думаешь, сколько ей?	Куыд хъуыды кæныс цал аз йыл цæуы?
Берите это.	Мæнæ ай райсут.
Ты испугаешься.	Ды фæтæрсдзынæ.
Том спал на скамейке в парке.	Том паркы фæхсбандоныл фынæй кодта.
Я знаю, что готов.	Æз зонын , цæттæ у .
Том продолжал смеяться.	Том дарддæр худтис .
Я должна победить.	Ӕз хъуамæ рамбулон.
А он доктор?	Дохтыр у?
Боб возвращается домой в шесть.	Боб хæдзармæ æрбацæуы æхсæз сахатыл.
Отец любит мать.	Фыд уарзы мады.
Сахар всегда сладкий.	Сæкæр алкæддæр адджын у.
Том снял парик.	Том парик раласта.
Когда стрелять?	Кæд хъæуы гæрах кæнын?
Уйдите оттуда.	Ацæут уырдыгæй.
Дай им войти.	Бауадз мæ бахизын.
Ты знаком с его братом?	Йе’фсымæримæ зонгæ дæ?
Я никогда не был богат.	Ӕз никуы нæ уыдтæн хъæздыг.
Том не смог бы сделать это в одиночку.	Томæн йæ бон не’суыдаит ай иунæгæй саразын.
Скажи это ещё раз.	Зæгъ ма йæ ноджыдар иу хатт.
Я кофе не пью.	Ӕз кофе нуазгæ нæ кæнын.
Это мой брат - Том.	Ай у ме’фсымæр -Том.
Я заплатила Тому.	Æз бафыстон Томæн.
Том покрасил волосы в зелёный цвет.	Том йæ сæр сахуырста кæрдæгхуызæй.
Иди сначала ты.	Фыццаг ды ацу.
Встретимся в пять.	Фе’мбæлæм фондз сахатыл.
Огонь был на первом этаже.	Арт фыццаг уæладзыгыл уыди.
Я спросил у неё адрес.	Бафарстон йын йæ адрис.
Не трать время попусту.	Рæстæг дзæгъæлы ма харц кæн.
Чего орёшь?	Цæуыл хъæр кæгыс?
Это только часть истории.	Ай нæма историйы хай у.
Я чувствую, что готова.	Æз æй хатын ,цæттæ дæн .
Не говорите так о моей семье.	Мæ бинонты тыххæй афтæ ма дзурут.
У тебя холодильник открыт.	Дæ уазалгæнæн гом у.
Том вышел из тюрьмы три года назад двадцатого октября.	Том рацыд ахæстонæй æртæ азы размæ ссæдзæм октябры.
Ладно, не переживай. Что-нибудь придумаем.	Ма тыхс , исты æрхъуыды кæндзыстæм.
У кого-нибудь есть фонарик?	Искæмæ фанар ис?
Почему Том ушёл от тебя?	Цæмæ дæ ныууагъта Том?
Я знал, что Том не победит.	Æз зыдтон, Том кæй нæ рамбулдзæн.
Я уже старая.	Ӕз зæронд дæн.
Трудно ли учить греческий язык?	Зын у грекаг æвзаг ахуыр кæнын?
Ты любишь гольф?	Гольф уарзыс?
Пока смерть не разлучит нас.	Цалынмæ нæ мæлæт нæ ахицæн кæна.
Я живу рядом с магазином.	Дуканийы цур цæрын .
"Спасибо". - "На здоровье".	"Бузныг". - "Табуафси".
Ты разве не адвокат?	Ӕвдакат нæ дæ?
Учись.	Ахуыр кæн.
Стой!	Фæлæу!
Морозно.	Хъызы.
Алло!	Алло!
Тепло.	Хъарм.
Учишься?	Ахуыр кæныс?
Достаточно!	Фаг у !
Довольно!	Æгъгъæд!
Конечно!	Уæдæ!
Молчать!	Дзыхыл хæцын!
Встаём.	Слæууыдыстæс.
Помогите!	Баххуыс кæнут !
Закрыто!	Хгæд у !
Увы.	Уæууау.
Полдесятого.	Дæсырдæг .
Нет!	Нæйы!
Поиграем?	Ахъазæм ?
Неужели?	Уанцон нæу?
Скорее!	Тагъддæр !
Чу!	Ацу !
Унесите.	Аххæсут.
Правильно!	Раст у !
Тихо!	Сабыргай!
Послушайте!	Байхъусут?
Сядь!	Æрбад!
Помолимся!	Акувæм !
Беги!	Лидз!
Серьёзно?	Уæгæй?
Пойдёшь?	Ацæудзынæ?
Поехали!	Ацыдыстæм !
Сюда.	Ардæм .
Уходим!	Ацыдыстæм !
Дурак!	Æдылы!
Обещаю.	Ныхас дæттын.
Выбирай.	Развар.
Исчезни!	Фесæф!
Болит?	Рисы?
Шутишь?	Хъынджылæг кæныс?
Поторопись!	Фæтагъд кæн !
Очнись.	Райхъал у .
Пора.	Афон у .
Присядемте.	Æрбадæм.
Отдыхаешь?	Улæфыс?
Садись.	Æрбад .
Врёшь!	Сайыс?
Прыгай!	Агæпп кæн !
Спасите!	Баххуыс кæнут !
Я помню, так что и ты не забывай.	Ыз æй хъуыды кæнын. мæ йæ ды дæр ма рох кæн
Нет, я на вас не сержусь, я просто огорчён.	На, ыз уа на ӕфхӕрӕн,
Том и Мэри не боятся.	Том æмæ Мэри нæ тæрсынч
Том уехал рано утром.	Том ацыди райсом раджы
У тебя уйма времени.	Дæу мæ бирæ рæстæг и
Я могу помочь Тому.	Мæ бон у бæххуыс кæнын Томæн
Том вытер руки о брюки.	Том йæ кухтæ йæ хæлафыл асæрфта
Не знаю, что меня так пугало.	Нæ йын зонын, афтæ тынг мæ цы тæрсын кодта
Ты читал, что там написано?	Бафарстай йæ цы дзы ис фыст?
Вы должны перед ними извиниться.	Сымах хъомæ хатыртæ ракурат
Кому задать этот вопрос?	Кæй бафарсон ацы фарст?
Вы на какой-то другой планете живёте?	Сымах æндæр планетæ цæрут?
Том не будет знать, кому это отдать.	Томæй нæ зодзæни кæмæн йæ хъомæ раттæ
Том любит петь?	Том уарзы зарын?
Вы слушали?	Сымах хъуыстат?
Прости, что вчера на вас наорал.	Хатыр, знон дыл кæй ныхъхъæр кодтон
Это слово есть в любом словаре.	Ацы ныхас ис алкæцы чиныгы дæр
Давай больше никогда не будем об этом говорить.	Æри макуыал дзурæм ауыл
Элен вышла на следующей остановке.	Элен рахызт иннæ остановкæйыл
Сколько за одного человека?	Цас у иу адæймаган?
Я просто не могу поверить в это.	Нæ мæ уырны
Я пытался помочь Тому, но не мог.	Фæлварын Томæн баххуыс кæнын, фæлæ нæу мæ бон
